,company,year,doc_id,date,similarity,rescaled_similarity,rescaled_similarity_lagged,num_disc
97,DOV,2019,0000029905,2019-12-31,0.9501749384843851,0.15602239013878094,,4
98,DOW,2019,0000029915,2019-12-31,0.9407741799155522,0.11841935586344965,,4
99,DPS,2019,0001418135,2019-12-31,0.9548145047612778,0.17458065524635202,,4
100,DTE,2019,0000028385,2019-12-31,0.9414535951328938,0.12113701673281607,,3
101,DUK,2019,0000017797,2019-12-31,0.9410626166633437,0.11957310285461542,,4
102,DVA,2019,0000927066,2019-12-31,0.9427522904474407,0.12633179799100347,,4
103,DVN,2019,0001090012,2019-12-31,0.9358209351595349,0.09860637683938034,,4
104,EBAY,2019,0001065088,2019-12-31,0.949381086276934,0.15284698130897656,,4
105,ECL,2019,0000031462,2019-12-31,0.9495956579724093,0.15370526809087792,,4
106,ED,2019,0000023632,2019-12-31,0.9340886529914062,0.09167724816686551,,4
107,EFX,2019,0000033185,2019-12-31,0.9565610437540307,0.18156681121736362,,4
108,EIX,2019,0000092103,2019-12-31,0.8813729720105732,-0.11918547575646654,,2
109,EMN,2019,0000915389,2019-12-31,0.9357843602859177,0.09846007734491158,,5
110,ENDP,2019,0001593034,2019-12-31,0.9388979702261986,0.11091451710603506,,4
111,EOG,2019,0000821189,2019-12-31,0.9294637898902957,0.07317779576242334,,5
112,EQIX,2019,0001101239,2019-12-31,0.9542373062653917,0.17227186126280758,,4
113,EQR,2019,0000906107,2019-12-31,0.9702843824056412,0.23646016582380547,,4
114,EQT,2019,0000033213,2019-12-31,0.9385227320493843,0.10941356439877792,,4
115,ES,2019,0000013372,2019-12-31,0.9455666584211467,0.13758926988582765,,4
116,ESS,2019,0000920522,2019-12-31,0.9450211974120932,0.13540742584961363,,4
117,ETFC,2019,0001015780,2019-12-31,0.9442581411920997,0.1323552009696396,,4
118,ETN,2019,0001551182,2019-12-31,0.9416975703988842,0.12211291779677769,,4
119,ETR,2019,0000007323,2019-12-31,0.901240266438405,-0.0397162980451391,,3
120,EW,2019,0001099800,2019-12-31,0.9458422622396485,0.13869168515983477,,4
121,EXC,2019,0000008192,2019-12-31,0.9441073005993347,0.13175183859857942,,3
122,EXPD,2019,0000746515,2019-12-31,0.9516955764688899,0.16210494207680037,,4
123,EXPE,2019,0001324424,2019-12-31,0.9561607153259079,0.17996549750487212,,4
124,EXR,2019,0001289490,2019-12-31,0.9333258363622475,0.08862598165023083,,4
125,F,2019,0000037996,2019-12-31,0.9539392406231468,0.17107959869382805,,4
126,FAST,2019,0000815556,2019-12-31,0.9571372320399804,0.18387156436116214,,4
127,FB,2019,0001326801,2019-12-31,0.9546342925890696,0.1738598065575192,,4
128,FBHS,2019,0001519751,2019-12-31,0.9539260335185711,0.17102677027552504,,4
129,FCX,2019,0000831259,2019-12-31,0.9327187411177335,0.08619760067217452,,1
130,FE,2019,0001031296,2019-12-31,0.9403529435325995,0.11673441033163856,,4
131,FIS,2019,0001136893,2019-12-31,0.9530403345406587,0.16748397436387563,,4
132,FISV,2019,0000798354,2019-12-31,0.9546430301432206,0.17389475677412314,,4
133,FITB,2019,0000035527,2019-12-31,0.9493909018640246,0.15288624365733927,,4
134,FLIR,2019,0000354908,2019-12-31,0.9460664855097104,0.1395885782400823,,4
135,FLR,2019,0001124198,2019-12-31,0.9490807041563514,0.1516454528266462,,4
136,FLS,2019,0000030625,2019-12-31,0.9547931706304705,0.17449531872312285,,4
137,FMC,2019,0000037785,2019-12-31,0.9547738918599055,0.17441820364086258,,4
138,FRT,2019,0000034903,2019-12-31,0.9425358083049782,0.12546586942115345,,4
139,FSLR,2019,0001274494,2019-12-31,0.9479972438928896,0.14731161177279928,,4
140,FTR,2019,0000020520,2019-12-31,0.9466627764228932,0.14197374189281353,,4
141,FTV,2019,0001659166,2019-12-31,0.9501155784699715,0.1557849500811268,,4
142,GD,2019,0000040533,2019-12-31,0.9529316115535797,0.1670490824155597,,4
143,GE,2019,0000040545,2019-12-31,0.8932993256878307,-0.07148006104743665,,2
144,GILD,2019,0000882095,2019-12-31,0.9407510550649957,0.11832685646122343,,4
145,GLW,2019,0000024741,2019-12-31,0.9481595431990832,0.1479608089975737,,4
146,GM,2019,0001467858,2019-12-31,0.9535273854269004,0.16943217790884235,,4
147,GOOGL,2019,0001652044,2019-12-31,0.9581648189533546,0.18798191201465908,,4
148,GPC,2019,0000040987,2019-12-31,0.9590004365108843,0.19132438224477788,,4
149,GPN,2019,0001123360,2019-12-31,0.9497792345927759,0.15443957457234436,,4
150,GRMN,2019,0001121788,2019-12-28,0.949852367277442,0.1547321053110089,,4
151,GS,2019,0000886982,2019-12-31,0.9538228201405577,0.1706139167634717,,5
152,GT,2019,0000042582,2019-12-31,0.9498144757340674,0.15458053913751035,,4
153,GWW,2019,0000277135,2019-12-31,0.9497344902390747,0.1542605971575397,,4
154,HAL,2019,0000045012,2019-12-31,0.9355985295753135,0.09771675450249484,,3
155,HAS,2019,0000046080,2019-12-29,0.9674978665368485,0.22531410234863491,,4
